StoreName,Locationnumber,State,BUCode,last_30d_recharge,active_days_30d,prev_30d_recharge,last_7d_recharge,days_since_last_recharge,churn_30d
Nuziveed OR,20604,AndraPRadesh,151,-169.52,1,0.0,-169.52,0,0
OP Road  Baroda,404,Gujrat,171,-2500.0400000000004,1,0.0,-2500.0400000000004,0,0
OR AYODHYA,20864,UP,11109,-254.28000000000003,1,0.0,-254.28000000000003,0,0
OR Ashok Nagar,20641,Rajasthan,176,-169.52,1,0.0,-169.52,0,0
OR Ashok udhyan,22878,Rajasthan,176,-84.76,1,0.0,-84.76,0,0
OR Banswara,22798,Rajasthan,176,-296.66,1,0.0,-296.66,0,0
OR Beawar,20971,Rajasthan,176,-423.8,1,0.0,-423.8,0,0
OR Bhankrota,21361,Rajasthan,176,-127.14000000000001,1,0.0,-127.14000000000001,0,0
OR Bhrampuri,21448,Rajasthan,176,-296.66,1,0.0,-296.66,0,0
OR Capital alwar,21935,Rajasthan,176,0.0,1,0.0,0.0,0,1
OR Chittorgarh,20903,Rajasthan,176,-254.28000000000003,1,0.0,-254.28000000000003,0,0
OR Dausa,22797,Rajasthan,176,-127.14000000000001,1,0.0,-127.14000000000001,0,0
OR HIRAN MAGRI SECTOR-5,21333,Rajasthan,176,-169.52,1,0.0,-169.52,0,0
OR Hiran magri sec 14,21334,Rajasthan,176,0.0,1,0.0,0.0,0,1
OR Jagatpura,21284,Rajasthan,176,-169.52,1,0.0,-169.52,0,0
OR Kankroli,22862,Rajasthan,176,-169.52,1,0.0,-169.52,0,0
OR Kesar Chauraha,22824,Rajasthan,176,-127.14000000000001,1,0.0,-127.14000000000001,0,0
OR Kishangarh,21571,Rajasthan,176,-339.04,1,0.0,-339.04,0,0
OR KrishnaNagar,21133,UP,11109,0.0,1,0.0,0.0,0,1
OR Kutchery Road AJMER,21356,Rajasthan,176,-42.38,1,0.0,-42.38,0,0
OR Mansarovar mini store,21325,Rajasthan,176,-254.28000000000003,1,0.0,-254.28000000000003,0,0
OR Naranpura Nextgen,20517,Gujrat,171,-254.28000000000003,1,0.0,-254.28000000000003,0,0
OR New Sanganer Road,21010,Rajasthan,176,-42.38,1,0.0,-42.38,0,0
OR PANJIM STORE,11860,GOA,17330,-550.94,1,0.0,-550.94,0,0
OR Paota Jodhpur,20980,Rajasthan,176,-339.04,1,0.0,-339.04,0,0
OR Ratanada,20640,Rajasthan,176,-593.32,1,0.0,-593.32,0,0
OR SUBHASH CHOWK,21449,Rajasthan,176,-339.04,1,0.0,-339.04,0,0
OR Salasar,21549,Rajasthan,176,-254.28000000000003,1,0.0,-254.28000000000003,0,0
OR Sirsi Road,22895,Rajasthan,176,-84.76,1,0.0,-84.76,0,0
OR StationRoad,21310,Rajasthan,176,-127.14000000000001,1,0.0,-127.14000000000001,0,0
OR Store Durgapura Jaipur,21528,Rajasthan,176,-127.14000000000001,1,0.0,-127.14000000000001,0,0
OR Subhash Nagar,20663,Rajasthan,176,-381.42,1,0.0,-381.42,0,0
OR Truth,20616,Rajasthan,176,-508.56000000000006,1,0.0,-508.56000000000006,0,0
OR_HOSA ROAD,20703,Karnataka,153,-762.84,1,0.0,-762.84,0,0
OR_Hanumangarh,20655,Rajasthan,176,-339.04,1,0.0,-339.04,0,0
OR_RaniBazaar,20644,Rajasthan,176,-847.6,1,0.0,-847.6,0,0
